symbol,name,industry,enabled
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,true
CUMMINSIND,Cummins India Ltd.,Capital Goods,true
CYIENT,Cyient Ltd.,Information Technology,true
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,true
DLF,DLF Ltd.,Realty,true
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,true
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,true
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,true
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,true
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,true
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,true
DELHIVERY,Delhivery Ltd.,Services,true
DEVYANI,Devyani International Ltd.,Consumer Services,true
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,true
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,true
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,true
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,true
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,true
EIHOTEL,EIH Ltd.,Consumer Services,true
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,true
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,true
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,true
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,true
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,true
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,true
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,true
ENGINERSIN,Engineers India Ltd.,Construction,true
ERIS,Eris Lifesciences Ltd.,Healthcare,true
ESCORTS,Escorts Kubota Ltd.,Capital Goods,true
ETERNAL,Eternal Ltd.,Consumer Services,true
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,true
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,true
FEDERALBNK,Federal Bank Ltd.,Financial Services,true
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,true
FINCABLES,Finolex Cables Ltd.,Capital Goods,true
FSL,Firstsource Solutions Ltd.,Services,true
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,true
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,true
FORTIS,Fortis Healthcare Ltd.,Healthcare,true
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,true
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,true
GMRAIRPORT,GMR Airports Ltd.,Services,true
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,true
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,true
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,true
GICRE,General Insurance Corporation of India,Financial Services,true
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,true
GLAND,Gland Pharma Ltd.,Healthcare,true
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,true
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,true
MEDANTA,Global Health Ltd.,Healthcare,true
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,true
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,true
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,true
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,true
GODREJIND,Godrej Industries Ltd.,Diversified,true
GODREJPROP,Godrej Properties Ltd.,Realty,true
GRANULES,Granules India Ltd.,Healthcare,true
GRAPHITE,Graphite India Ltd.,Capital Goods,true
GRASIM,Grasim Industries Ltd.,Construction Materials,true
GRAVITA,Gravita India Ltd.,Metals & Mining,true
GESHIP,Great Eastern Shipping Co. Ltd.,Services,true
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,true
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,true
HEG,H.E.G. Ltd.,Capital Goods,true
HBLENGINE,HBL Engineering Ltd.,Capital Goods,true
HCLTECH,HCL Technologies Ltd.,Information Technology,true
HDBFS,HDB Financial Services Ltd.,Financial Services,true
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,true
HDFCBANK,HDFC Bank Ltd.,Financial Services,true
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,true
HFCL,HFCL Ltd.,Telecommunication,true
HAVELLS,Havells India Ltd.,Consumer Durables,true
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,true
HEXT,Hexaware Technologies Ltd.,Information Technology,true
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,true
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,true
HAL,Hindustan Aeronautics Ltd.,Capital Goods,true
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,true
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,true
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,true
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,true
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,true
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,true
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,true
HONAUT,Honeywell Automation India Ltd.,Capital Goods,true
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,true
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,true
ICICIBANK,ICICI Bank Ltd.,Financial Services,true
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,true
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,true
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,true
IDBI,IDBI Bank Ltd.,Financial Services,true
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,true
IFCI,IFCI Ltd.,Financial Services,true
IIFL,IIFL Finance Ltd.,Financial Services,true
IRB,IRB Infrastructure Developers Ltd.,Construction,true
IRCON,IRCON International Ltd.,Construction,true
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,true
ITC,ITC Ltd.,Fast Moving Consumer Goods,true
ITI,ITI Ltd.,Telecommunication,true
INDGN,Indegene Ltd.,Healthcare,true
INDIACEM,India Cements Ltd.,Construction Materials,true
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,true
INDIANB,Indian Bank,Financial Services,true
IEX,Indian Energy Exchange Ltd.,Financial Services,true
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,true
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,true
IOB,Indian Overseas Bank,Financial Services,true
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,true
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,true
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,true
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,true
INDUSTOWER,Indus Towers Ltd.,Telecommunication,true
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,true
NAUKRI,Info Edge (India) Ltd.,Consumer Services,true
INFY,Infosys Ltd.,Information Technology,true
INOXWIND,Inox Wind Ltd.,Capital Goods,true
INTELLECT,Intellect Design Arena Ltd.,Information Technology,true
INDIGO,InterGlobe Aviation Ltd.,Services,true
IGIL,International Gemological Institute Ltd.,Services,true
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,true
