symbol,name,industry,enabled
TITAN,Titan Company Ltd.,Consumer Durables,true
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,true
TORNTPOWER,Torrent Power Ltd.,Power,true
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,true
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,true
TRENT,Trent Ltd.,Consumer Services,true
TRIDENT,Trident Ltd.,Textiles,true
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,true
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,true
UCOBANK,UCO Bank,Financial Services,true
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,true
UPL,UPL Ltd.,Chemicals,true
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,true
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,true
UNIONBANK,Union Bank of India,Financial Services,true
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,true
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,true
URBANCO,Urban Company Ltd.,Consumer Services,true
USHAMART,Usha Martin Ltd.,Capital Goods,true
VTL,Vardhman Textiles Ltd.,Textiles,true
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,true
VEDL,Vedanta Ltd.,Metals & Mining,true
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,true
VMM,Vishal Mega Mart Ltd.,Consumer Services,true
IDEA,Vodafone Idea Ltd.,Telecommunication,true
VOLTAS,Voltas Ltd.,Consumer Durables,true
WAAREEENER,Waaree Energies Ltd.,Capital Goods,true
WELCORP,Welspun Corp Ltd.,Capital Goods,true
WELSPUNLIV,Welspun Living Ltd.,Textiles,true
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,true
WIPRO,Wipro Ltd.,Information Technology,true
WOCKPHARMA,Wockhardt Ltd.,Healthcare,true
YESBANK,Yes Bank Ltd.,Financial Services,true
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,true
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,true
ZENTEC,Zen Technologies Ltd.,Capital Goods,true
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,true
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,true
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,true
ECLERX,eClerx Services Ltd.,Services,true
