symbol,name,industry,series,isin,exchange,trading_symbol,scrip_code,search_aliases,enabled
BSE:526525,Worldwide Aluminium Ltd,BSE Equity,X,INE550D01010,BSE,WWALUM,526525,526525 WWALUM INE550D01010 Worldwide Aluminium Ltd,true
BSE:526530,IIRM Holdings India Ltd,BSE Equity,XT,INE670C01026,BSE,IIRM,526530,526530 IIRM INE670C01026 IIRM Holdings India Ltd,true
BSE:526532,Square Four Projects India Ltd,BSE Equity,X,INE716K01020,BSE,SFPIL,526532,526532 SFPIL INE716K01020 Square Four Projects India Ltd,true
BSE:526544,SGL Resources Ltd,BSE Equity,XT,INE967B01028,BSE,SGLRES,526544,526544 SGLRES INE967B01028 SGL Resources Ltd,true
BSE:526546,Choksi Laboratories Ltd,BSE Equity,XT,INE493D01013,BSE,CHOKSILA,526546,526546 CHOKSILA INE493D01013 Choksi Laboratories Ltd,true
BSE:526554,Salguti Industries Ltd,BSE Equity,X,INE159C01012,BSE,SALGUTI,526554,526554 SALGUTI INE159C01012 Salguti Industries Ltd,true
BSE:526570,Midwest Energy Ltd,BSE Equity,T,INE519N01014,BSE,REMAGNET,526570,526570 REMAGNET INE519N01014 Midwest Energy Ltd,true
BSE:526574,Enterprise International Ltd,BSE Equity,X,INE439G01019,BSE,ENTRINT,526574,526574 ENTRINT INE439G01019 Enterprise International Ltd,true
BSE:526588,Photoquip India Ltd,BSE Equity,X,INE813B01016,BSE,PHOTOQUP,526588,526588 PHOTOQUP INE813B01016 Photoquip India Ltd,true
BSE:526604,Lippi Systems Ltd,BSE Equity,XT,INE845B01018,BSE,LIPPISYS,526604,526604 LIPPISYS INE845B01018 Lippi Systems Ltd,true
BSE:526614,Expo Engineering And Projects Ltd,BSE Equity,X,INE561D01025,BSE,EXPOEAPL,526614,526614 EXPOEAPL INE561D01025 Expo Engineering And Projects Ltd,true
BSE:526616,National Plastic Industries Ltd,BSE Equity,X,INE233D01013,BSE,NATPLAS,526616,526616 NATPLAS INE233D01013 National Plastic Industries Ltd,true
BSE:526622,MFL India Ltd,BSE Equity,X,INE244C01020,BSE,MFLINDIA,526622,526622 MFLINDIA INE244C01020 MFL India Ltd,true
BSE:526628,Ajwa Fun World & Resort Ltd,BSE Equity,P,INE863E01015,BSE,AJWAFUN,526628,526628 AJWAFUN INE863E01015 Ajwa Fun World & Resort Ltd,true
BSE:526638,Texel Industries Ltd,BSE Equity,X,INE594V01028,BSE,TEXELIN,526638,526638 TEXELIN INE594V01028 Texel Industries Ltd,true
BSE:526640,Royale Manor Hotels & Industries Ltd,BSE Equity,X,INE008C01011,BSE,RAYALEMA,526640,526640 RAYALEMA INE008C01011 Royale Manor Hotels & Industries Ltd,true
BSE:526675,Tirth Plastic Ltd,BSE Equity,X,INE008N01018,BSE,TIRTPLS,526675,526675 TIRTPLS INE008N01018 Tirth Plastic Ltd,true
BSE:526703,Ecoplast Ltd,BSE Equity,X,INE423D01010,BSE,ECOPLAST,526703,526703 ECOPLAST INE423D01010 Ecoplast Ltd,true
