symbol,name,industry,series,isin,exchange,trading_symbol,scrip_code,search_aliases,enabled
20MICRONS,20 Microns Limited,NSE Equity,EQ,INE144J01027,NSE,20MICRONS,,20MICRONS INE144J01027 533022 20MICRONS 20 Microns Ltd,true
21STCENMGM,21st Century Management Services Limited,NSE Equity,EQ,INE253B01015,NSE,21STCENMGM,,21STCENMGM INE253B01015 526921 21STCENMGM Twentyfirst Century Management Services Ltd,true
360ONE,360 ONE WAM LIMITED,Financial Services,EQ,INE466L01038,NSE,360ONE,,360ONE INE466L01038 542772 360ONE 360 ONE WAM LTD,true
3BBLACKBIO,3B Blackbio Dx Limited,NSE Equity,EQ,INE994E01018,NSE,3BBLACKBIO,,3BBLACKBIO INE994E01018 532067 3BBLACKBIO 3B BlackBio Dx Ltd,true
3IINFOLTD,3i Infotech Limited,NSE Equity,EQ,INE748C01038,NSE,3IINFOLTD,,3IINFOLTD INE748C01038 532628 3IINFOLTD 3i Infotech Ltd,true
3MINDIA,3M India Limited,Diversified,EQ,INE470A01017,NSE,3MINDIA,,3MINDIA INE470A01017 523395 3MINDIA 3M India Ltd,true
3PLAND,3P Land Holdings Limited,NSE Equity,EQ,INE105C01023,NSE,3PLAND,,3PLAND INE105C01023 516092 3PLAND 3P Land Holdings Ltd,true
5PAISA,5Paisa Capital Limited,NSE Equity,EQ,INE618L01018,NSE,5PAISA,,5PAISA INE618L01018 540776 5PAISA 5paisa Capital Ltd,true
63MOONS,63 moons technologies limited,NSE Equity,EQ,INE111B01023,NSE,63MOONS,,63MOONS INE111B01023 526881 63MOONS 63 Moons Technologies Ltd,true
A2ZINFRA,A2Z Infra Engineering Limited,NSE Equity,EQ,INE619I01012,NSE,A2ZINFRA,,A2ZINFRA INE619I01012 533292 A2ZINFRA A2Z Infra Engineering Ltd,true
AAATECH,AAA Technologies Limited,NSE Equity,EQ,INE0D0U01013,NSE,AAATECH,,AAATECH INE0D0U01013 543671 AAATECH AAA Technologies Ltd,true
AADHARHFC,Aadhar Housing Finance Limited,Financial Services,EQ,INE883F01010,NSE,AADHARHFC,,AADHARHFC INE883F01010 544176 AADHARHFC Aadhar Housing Finance Ltd,true
AAKASH,Aakash Exploration Services Limited,NSE Equity,EQ,INE087Z01024,NSE,AAKASH,,AAKASH INE087Z01024,true
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE Equity,BE,INE198H01019,NSE,AAREYDRUGS,,AAREYDRUGS INE198H01019 524412 AAREYDRUGS Aarey Drugs & Pharmaceuticals Ltd,true
AARNAV,Aarnav Fashions Limited,NSE Equity,EQ,INE750R01016,NSE,AARNAV,,AARNAV INE750R01016 539562 AARNAV Aarnav Fashions Ltd,true
AARON,Aaron Industries Limited,NSE Equity,EQ,INE721Z01010,NSE,AARON,,AARON INE721Z01010,true
AARTECH,Aartech Solonics Limited,NSE Equity,BE,INE01C001026,NSE,AARTECH,,AARTECH INE01C001026 542580 AARTECH Aartech Solonics Ltd,true
AARTIDRUGS,Aarti Drugs Limited,NSE Equity,EQ,INE767A01016,NSE,AARTIDRUGS,,AARTIDRUGS INE767A01016 524348 AARTIDRUGS Aarti Drugs Ltd,true
AARTIIND,Aarti Industries Limited,Chemicals,EQ,INE769A01020,NSE,AARTIIND,,AARTIIND INE769A01020 524208 AARTIIND Aarti Industries Ltd,true
AARTIPHARM,Aarti Pharmalabs Limited,NSE Equity,EQ,INE0LRU01027,NSE,AARTIPHARM,,AARTIPHARM INE0LRU01027 543748 AARTIPHARM Aarti Pharmalabs Ltd,true
AARTISURF,Aarti Surfactants Limited,NSE Equity,EQ,INE09EO01013,NSE,AARTISURF,,AARTISURF INE09EO01013 543210 AARTISURF Aarti Surfactants Ltd,true
AARVI,Aarvi Encon Limited,NSE Equity,EQ,INE754X01016,NSE,AARVI,,AARVI INE754X01016,true
AASTHA,Aastha Spintex Limited,NSE Equity,EQ,INE2FMX01012,NSE,AASTHA,,AASTHA INE2FMX01012 544808 AASTHA Aastha Spintex Ltd,true
AAVAS,Aavas Financiers Limited,Financial Services,EQ,INE216P01012,NSE,AAVAS,,AAVAS INE216P01012 541988 AAVAS AAVAS Financiers Ltd,true
ABAN,Aban Offshore Limited,NSE Equity,BE,INE421A01028,NSE,ABAN,,ABAN INE421A01028 523204 ABAN Aban Offshore Ltd,true
ABANSENT,Abans Enterprises Limited,NSE Equity,BE,INE365O01028,NSE,ABANSENT,,ABANSENT INE365O01028 512165 ABANSENT Abans Enterprises Ltd,true
ABB,ABB India Limited,Capital Goods,EQ,INE117A01022,NSE,ABB,,ABB INE117A01022 500002 ABB ABB India Ltd,true
ABBOTINDIA,Abbott India Limited,Healthcare,EQ,INE358A01014,NSE,ABBOTINDIA,,ABBOTINDIA INE358A01014 500488 ABBOTINDIA Abbott India Ltd,true
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,EQ,INE674K01013,NSE,ABCAPITAL,,ABCAPITAL INE674K01013 540691 ABCAPITAL Aditya Birla Capital Ltd,true
ABCOTS,A B Cotspin India Limited,NSE Equity,EQ,INE08PH01015,NSE,ABCOTS,,ABCOTS INE08PH01015 544522 ABCOTS A B Cotspin India Ltd,true
ABDL,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,EQ,INE552Z01027,NSE,ABDL,,ABDL INE552Z01027 544203 ABDL Allied Blenders and Distillers Ltd,true
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Services,EQ,INE647O01011,NSE,ABFRL,,ABFRL INE647O01011 535755 ABFRL Aditya Birla Fashion and Retail Ltd,true
ABINFRA,A B Infrabuild Limited,NSE Equity,EQ,INE00YB01025,NSE,ABINFRA,,ABINFRA INE00YB01025 544281 ABINFRA A B Infrabuild Ltd,true
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Services,EQ,INE14LE01019,NSE,ABLBL,,ABLBL INE14LE01019 544403 ABLBL Aditya Birla Lifestyle Brands Ltd,true
ABMINTLLTD,ABM International Limited,NSE Equity,EQ,INE251C01025,NSE,ABMINTLLTD,,ABMINTLLTD INE251C01025,true
ABMKNO,ABM Knowledgeware Limited,NSE Equity,EQ,INE850B01026,NSE,ABMKNO,,ABMKNO INE850B01026 531161 ABMKNO ABM Knowledgeware Ltd,true
ABREL,Aditya Birla Real Estate Limited,Realty,EQ,INE055A01016,NSE,ABREL,,ABREL INE055A01016 500040 ABREL Aditya Birla Real Estate Ltd,true
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,EQ,INE404A01024,NSE,ABSLAMC,,ABSLAMC INE404A01024 543374 ABSLAMC Aditya Birla Sun Life AMC Ltd,true
ACC,ACC Limited,Construction Materials,EQ,INE012A01025,NSE,ACC,,ACC INE012A01025 500410 ACC ACC Ltd,true
ACCELYA,Accelya Solutions India Limited,NSE Equity,EQ,INE793A01012,NSE,ACCELYA,,ACCELYA INE793A01012 532268 ACCELYA Accelya Solutions India Ltd,true
ACCURACY,Accuracy Shipping Limited,NSE Equity,BE,INE648Z01023,NSE,ACCURACY,,ACCURACY INE648Z01023 544598 ACCURACY Accuracy Shipping Ltd,true
ACE,Action Construction Equipment Limited,Capital Goods,EQ,INE731H01025,NSE,ACE,,ACE INE731H01025 532762 ACE Action Construction Equipment Ltd,true
ACEINTEG,Ace Integrated Solutions Limited,NSE Equity,EQ,INE543V01017,NSE,ACEINTEG,,ACEINTEG INE543V01017,true
ACI,Archean Chemical Industries Limited,NSE Equity,EQ,INE128X01021,NSE,ACI,,ACI INE128X01021 543657 ACI Archean Chemical Industries Ltd,true
ACL,Andhra Cements Limited,NSE Equity,EQ,INE666E01020,NSE,ACL,,ACL INE666E01020 532141 ACL Andhra Cements Ltd,true
ACMESOLAR,Acme Solar Holdings Limited,Power,EQ,INE622W01025,NSE,ACMESOLAR,,ACMESOLAR INE622W01025 544283 ACMESOLAR ACME Solar Holdings Ltd,true
ACSTECH,ACS Technologies Limited,NSE Equity,EQ,INE366C01021,NSE,ACSTECH,,ACSTECH INE366C01021 530745 ACSTECH ACS Technologies Ltd,true
ACUTAAS,Acutaas Chemicals Limited,Healthcare,EQ,INE00FF01025,NSE,ACUTAAS,,ACUTAAS INE00FF01025 543349 ACUTAAS Acutaas Chemicals Ltd,true
ADANIENSOL,Adani Energy Solutions Limited,Power,EQ,INE931S01010,NSE,ADANIENSOL,,ADANIENSOL INE931S01010 539254 ADANIENSOL Adani Energy Solutions Ltd,true
ADANIENT,Adani Enterprises Limited,Metals & Mining,EQ,INE423A01024,NSE,ADANIENT,,ADANIENT INE423A01024 512599 ADANIENT Adani Enterprises Ltd,true
ADANIGREEN,Adani Green Energy Limited,Power,EQ,INE364U01010,NSE,ADANIGREEN,,ADANIGREEN INE364U01010 541450 ADANIGREEN Adani Green Energy Ltd,true
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services,EQ,INE742F01042,NSE,ADANIPORTS,,ADANIPORTS INE742F01042 532921 ADANIPORTS Adani Ports and Special Economic Zone Ltd,true
ADANIPOWER,Adani Power Limited,Power,EQ,INE814H01029,NSE,ADANIPOWER,,ADANIPOWER INE814H01029 533096 ADANIPOWER Adani Power Ltd,true
ADFFOODS,ADF Foods Limited,NSE Equity,EQ,INE982B01027,NSE,ADFFOODS,,ADFFOODS INE982B01027 519183 ADFFOODS Adf Foods Ltd,true
ADL,Archidply Decor Limited,NSE Equity,EQ,INE0CHO01012,NSE,ADL,,ADL INE0CHO01012 543231 ADL Archidply Decor Ltd,true
ADOR,Ador Welding Limited,NSE Equity,EQ,INE045A01017,NSE,ADOR,,ADOR INE045A01017 517041 ADOR Ador Welding Ltd,true
ADROITINFO,Adroit Infotech Limited,NSE Equity,EQ,INE737B01033,NSE,ADROITINFO,,ADROITINFO INE737B01033 532172 ADROITINFO Adroit Infotech Ltd,true
ADSL,Allied Digital Services Limited,NSE Equity,EQ,INE102I01027,NSE,ADSL,,ADSL INE102I01027 532875 ADSL Allied Digital Services Ltd,true
ADVAIT,Advait Energy Transitions Limited,NSE Equity,EQ,INE0ALI01010,NSE,ADVAIT,,ADVAIT INE0ALI01010 543230 ADVAIT Advait Energy Transitions Ltd,true
ADVANCE,Advance Agrolife Limited,NSE Equity,EQ,INE1B0W01010,NSE,ADVANCE,,ADVANCE INE1B0W01010 544562 ADVANCE Advance Agrolife Ltd,true
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE Equity,EQ,INE199C01026,NSE,ADVANIHOTR,,ADVANIHOTR INE199C01026 523269 ADVANIHOTR Advani Hotels & Resorts (India) Ltd,true
ADVENTHTL,Advent Hotels International Limited,NSE Equity,EQ,INE28GN01010,NSE,ADVENTHTL,,ADVENTHTL INE28GN01010 544446 ADVENTHTL Advent Hotels International Ltd,true
ADVENZYMES,Advanced Enzyme Technologies Limited,NSE Equity,EQ,INE837H01020,NSE,ADVENZYMES,,ADVENZYMES INE837H01020 540025 ADVENZYMES Advanced Enzyme Technologies Ltd,true
AEGISLOG,Aegis Logistics Limited,Oil Gas & Consumable Fuels,EQ,INE208C01025,NSE,AEGISLOG,,AEGISLOG INE208C01025 500003 AEGISLOG Aegis Logistics Ltd,true
AEGISVOPAK,Aegis Vopak Terminals Limited,Oil Gas & Consumable Fuels,EQ,INE0INX01018,NSE,AEGISVOPAK,,AEGISVOPAK INE0INX01018 544407 AEGISVOPAK Aegis Vopak Terminals Ltd,true
AEPL,Artemis Electricals and Projects Limited,NSE Equity,EQ,INE757T01025,NSE,AEPL,,AEPL INE757T01025 542670 AEPL Artemis Electricals and Projects Ltd,true
AEQUS,Aequs Limited,NSE Equity,EQ,INE947N01017,NSE,AEQUS,,AEQUS INE947N01017 544634 AEQUS Aequs Ltd,true
AEROENTER,Aeroflex Enterprises Limited,NSE Equity,EQ,INE065D01027,NSE,AEROENTER,,AEROENTER INE065D01027 511076 AEROENTER Aeroflex Enterprises Ltd,true
AEROFLEX,Aeroflex Industries Limited,NSE Equity,EQ,INE024001021,NSE,AEROFLEX,,AEROFLEX INE024001021 543972 AEROFLEX Aeroflex Industries Ltd,true
AERONEU,Aeroflex Neu Limited,NSE Equity,EQ,INE035801013,NSE,AERONEU,,AERONEU INE035801013 543743 AERONEU Aeroflex Neu Ltd,true
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,NSE Equity,EQ,INE05TO01019,NSE,AEROPLANE,,AEROPLANE INE05TO01019 544743 AEROPLANE Amir Chand Jagdish Kumar (Exports) Ltd,true
AETHER,Aether Industries Limited,NSE Equity,EQ,INE0BWX01014,NSE,AETHER,,AETHER INE0BWX01014 543534 AETHER Aether Industries Ltd,true
AFCONS,Afcons Infrastructure Limited,Construction,EQ,INE101I01011,NSE,AFCONS,,AFCONS INE101I01011 544280 AFCONS Afcons Infrastructure Ltd,true
AFFLE,Affle 3i Limited,Information Technology,EQ,INE00WC01027,NSE,AFFLE,,AFFLE INE00WC01027 542752 AFFLE Affle 3I Ltd,true
AFFORDABLE,Affordable Robotic & Automation Limited,NSE Equity,BE,INE692Z01013,NSE,AFFORDABLE,,AFFORDABLE INE692Z01013 541402 AFFORDABLE Affordable Robotic & Automation Ltd,true
AFIL,Akme Fintrade (India) Limited,NSE Equity,EQ,INE916Y01027,NSE,AFIL,,AFIL INE916Y01027 544200 AFIL Akme Fintrade (India) Ltd,true
AFSL,Abans Financial Services Limited,NSE Equity,EQ,INE00ZE01026,NSE,AFSL,,AFSL INE00ZE01026 543712 AFSL Abans Financial Services Ltd,true
AGARIND,Agarwal Industrial Corporation Limited,NSE Equity,EQ,INE204E01012,NSE,AGARIND,,AGARIND INE204E01012 531921 AGARIND Agarwal Industrial Corporation Ltd,true
AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE Equity,EQ,INE943P01029,NSE,AGARWALEYE,,AGARWALEYE INE943P01029 544350 AGARWALEYE Dr. Agarwals Health Care Ltd,true
AGI,AGI Greenpac Limited,NSE Equity,EQ,INE415A01038,NSE,AGI,,AGI INE415A01038 500187 AGI Agi Greenpac Ltd,true
AGIIL,Agi Infra Limited,NSE Equity,EQ,INE976R01033,NSE,AGIIL,,AGIIL INE976R01033 539042 AGIIL AGI Infra Ltd,true
AGL,Allcargo Global Limited,NSE Equity,EQ,INE1YPB01014,NSE,AGL,,AGL INE1YPB01014 544602 AGL Allcargo Global Ltd,true
AGRITECH,Agri-Tech (India) Limited,NSE Equity,BE,INE449G01018,NSE,AGRITECH,,AGRITECH INE449G01018 537292 AGRITECH Agri- Tech (India) Ltd,true
AGROPHOS,Agro Phos India Limited,NSE Equity,EQ,INE740V01019,NSE,AGROPHOS,,AGROPHOS INE740V01019,true
AHCL,Anlon Healthcare Limited,NSE Equity,EQ,INE0Y8W01025,NSE,AHCL,,AHCL INE0Y8W01025 544497 AHCL Anlon Healthcare Ltd,true
AHLADA,Ahlada Engineers Limited,NSE Equity,EQ,INE00PV01013,NSE,AHLADA,,AHLADA INE00PV01013,true
AHLEAST,Asian Hotels (East) Limited,NSE Equity,EQ,INE926K01017,NSE,AHLEAST,,AHLEAST INE926K01017 533227 AHLEAST Asian Hotels (East) Ltd,true
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE Equity,EQ,INE758C01029,NSE,AHLUCONT,,AHLUCONT INE758C01029 532811 AHLUCONT Ahluwalia Contracts (India) Ltd,true
AHLWEST,Asian Hotels (West) Limited,NSE Equity,BE,INE915K01010,NSE,AHLWEST,,AHLWEST INE915K01010 533221 AHLWEST Asian Hotels (West) Ltd,true
AIAENG,AIA Engineering Limited,Capital Goods,EQ,INE212H01026,NSE,AIAENG,,AIAENG INE212H01026 532683 AIAENG AIA Engineering Ltd,true
AIIL,Authum Investment & Infrastructure Limited,Financial Services,EQ,INE206F01022,NSE,AIIL,,AIIL INE206F01022 539177 AIIL Authum Investment & Infrastructure Ltd,true
AIRAN,Airan Limited,NSE Equity,EQ,INE645W01026,NSE,AIRAN,,AIRAN INE645W01026 543811 AIRAN Airan Ltd,true
AIROLAM,Airo Lam limited,NSE Equity,EQ,INE801L01010,NSE,AIROLAM,,AIROLAM INE801L01010,true
AJANTPHARM,Ajanta Pharma Limited,Healthcare,EQ,INE031B01049,NSE,AJANTPHARM,,AJANTPHARM INE031B01049 532331 AJANTPHARM Ajanta Pharma Ltd,true
AJAXENGG,Ajax Engineering Limited,NSE Equity,EQ,INE274Y01021,NSE,AJAXENGG,,AJAXENGG INE274Y01021 544356 AJAXENGG AJAX Engineering Ltd,true
AJMERA,Ajmera Realty & Infra India Limited,NSE Equity,EQ,INE298G01035,NSE,AJMERA,,AJMERA INE298G01035 513349 AJMERA Ajmera Realty & Infra India Ltd,true
AJOONI,Ajooni Biotech Limited,NSE Equity,EQ,INE820Y01021,NSE,AJOONI,,AJOONI INE820Y01021,true
AKASH,Akash Infra-Projects Limited,NSE Equity,EQ,INE737W01013,NSE,AKASH,,AKASH INE737W01013,true
AKCAPIT,AK Capital Services Limited,NSE Equity,EQ,INE701G01012,NSE,AKCAPIT,,AKCAPIT INE701G01012 530499 AKCAPIT AK Capital Services Ltd,true
AKG,Akg Exim Limited,NSE Equity,EQ,INE00Y801016,NSE,AKG,,AKG INE00Y801016,true
AKI,AKI India Limited,NSE Equity,EQ,INE642Z01026,NSE,AKI,,AKI INE642Z01026 542020 AKI AKI India Ltd,true
AKSHAR,Akshar Spintex Limited,NSE Equity,EQ,INE256Z01025,NSE,AKSHAR,,AKSHAR INE256Z01025 541303 AKSHAR Akshar Spintex Ltd,true
AKSHARCHEM,AksharChem India Limited,NSE Equity,BE,INE542B01011,NSE,AKSHARCHEM,,AKSHARCHEM INE542B01011 524598 AKSHARCHEM AksharChem India Ltd,true
AKSHOPTFBR,Aksh Optifibre Limited,NSE Equity,BE,INE523B01011,NSE,AKSHOPTFBR,,AKSHOPTFBR INE523B01011 532351 AKSHOPTFBR Aksh Optifibre Ltd,true
AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE Equity,EQ,INE09XN01023,NSE,AKUMS,,AKUMS INE09XN01023 544222 AKUMS Akums Drugs and Pharmaceuticals Ltd,true
ALANKIT,Alankit Limited,NSE Equity,EQ,INE914E01040,NSE,ALANKIT,,ALANKIT INE914E01040 531082 ALANKIT Alankit Ltd,true
ALBERTDAVD,Albert David Limited,NSE Equity,EQ,INE155C01010,NSE,ALBERTDAVD,,ALBERTDAVD INE155C01010 524075 ALBERTDAVD Albert David Ltd,true
ALEMBICLTD,Alembic Limited,NSE Equity,EQ,INE426A01027,NSE,ALEMBICLTD,,ALEMBICLTD INE426A01027 506235 ALEMBICLTD Alembic Ltd,true
ALGOQUANT,Algoquant Fintech Limited,NSE Equity,EQ,INE598D01035,NSE,ALGOQUANT,,ALGOQUANT INE598D01035 505725 ALGOQUANT Algoquant Fintech Ltd,true
ALICON,Alicon Castalloy Limited,NSE Equity,EQ,INE062D01024,NSE,ALICON,,ALICON INE062D01024 531147 ALICON Alicon Castalloy Ltd,true
ALIVUS,Alivus Life Sciences Limited,NSE Equity,EQ,INE03Q201024,NSE,ALIVUS,,ALIVUS INE03Q201024 543322 ALIVUS Alivus Life Sciences Ltd,true
ALKALI,Alkali Metals Limited,NSE Equity,BE,INE773I01017,NSE,ALKALI,,ALKALI INE773I01017 533029 ALKALI Alkali Metals Ltd,true
ALKEM,Alkem Laboratories Limited,Healthcare,EQ,INE540L01014,NSE,ALKEM,,ALKEM INE540L01014 539523 ALKEM Alkem Laboratories Ltd,true
ALKYLAMINE,Alkyl Amines Chemicals Limited,NSE Equity,EQ,INE150B01039,NSE,ALKYLAMINE,,ALKYLAMINE INE150B01039 506767 ALKYLAMINE Alkyl Amines Chemicals Ltd,true
ALLCARGO,Allcargo Logistics Limited,NSE Equity,EQ,INE418H01029,NSE,ALLCARGO,,ALLCARGO INE418H01029 532749 ALLCARGO Allcargo Logistics Ltd,true
ALLDIGI,Alldigi Tech Limited,NSE Equity,EQ,INE835G01018,NSE,ALLDIGI,,ALLDIGI INE835G01018 532633 ALLDIGI Alldigi Tech Ltd,true
ALLTIME,All Time Plastics Limited,NSE Equity,EQ,INE0GV601021,NSE,ALLTIME,,ALLTIME INE0GV601021 544479 ALLTIME All Time Plastics Ltd,true
ALMONDZ,Almondz Global Securities Limited,NSE Equity,EQ,INE326B01035,NSE,ALMONDZ,,ALMONDZ INE326B01035 531400 ALMONDZ Almondz Global Securities Ltd,true
ALOKINDS,Alok Industries Limited,NSE Equity,EQ,INE270A01029,NSE,ALOKINDS,,ALOKINDS INE270A01029 521070 ALOKINDS Alok Industries Ltd,true
ALPA,Alpa Laboratories Limited,NSE Equity,EQ,INE385I01010,NSE,ALPA,,ALPA INE385I01010 532878 ALPA Alpa Laboratories Ltd,true
ALPHAGEO,Alphageo (India) Limited,NSE Equity,EQ,INE137C01018,NSE,ALPHAGEO,,ALPHAGEO INE137C01018 526397 ALPHAGEO Alphageo (India) Ltd,true
ALPINETEX,Alpine Texworld Limited,NSE Equity,BE,INE1JCQ01037,NSE,ALPINETEX,,ALPINETEX INE1JCQ01037 544825 ALPINETEX Alpine Texworld Ltd,true
AMAGI,Amagi Media Labs Limited,NSE Equity,EQ,INE121R01077,NSE,AMAGI,,AMAGI INE121R01077 544679 AMAGI Amagi Media Labs Ltd,true
AMANTA,Amanta Healthcare Limited,NSE Equity,BE,INE084K01015,NSE,AMANTA,,AMANTA INE084K01015 544502 AMANTA Amanta Healthcare Ltd,true
AMBALALSA,Ambalal Sarabhai Enterprises Limited,NSE Equity,EQ,INE432A01017,NSE,AMBALALSA,,AMBALALSA INE432A01017 500009 AMBALALSA Ambalal Sarabhai Enterprises Ltd,true
AMBER,Amber Enterprises India Limited,Consumer Durables,EQ,INE371P01015,NSE,AMBER,,AMBER INE371P01015 540902 AMBER Amber Enterprises India Ltd,true
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,NSE Equity,EQ,INE792B01012,NSE,AMBICAAGAR,,AMBICAAGAR INE792B01012 532335 AMBICAAGAR Ambica Agarbathies & Aroma Industries Ltd,true
AMBIKCO,Ambika Cotton Mills Limited,NSE Equity,EQ,INE540G01014,NSE,AMBIKCO,,AMBIKCO INE540G01014 531978 AMBIKCO Ambika Cotton Mills Ltd,true
AMBUJACEM,Ambuja Cements Limited,Construction Materials,EQ,INE079A01024,NSE,AMBUJACEM,,AMBUJACEM INE079A01024 500425 AMBUJACEM Ambuja Cements Ltd,true
AMDIND,AMD Industries Limited,NSE Equity,EQ,INE005I01014,NSE,AMDIND,,AMDIND INE005I01014 532828 AMDIND AMD Industries Ltd,true
AMJLAND,Amj Land Holdings Limited,NSE Equity,EQ,INE606A01024,NSE,AMJLAND,,AMJLAND INE606A01024 500343 AMJLAND AMJ Land Holdings Ltd,true
AMNPLST,Amines & Plasticizers Limited,NSE Equity,EQ,INE275D01022,NSE,AMNPLST,,AMNPLST INE275D01022 506248 AMNPLST Amines & Plasticizers Ltd,true
AMRUTANJAN,Amrutanjan Health Care Limited,NSE Equity,EQ,INE098F01031,NSE,AMRUTANJAN,,AMRUTANJAN INE098F01031 590006 AMRUTANJAN Amrutanjan Health Care Ltd,true
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,EQ,INE463V01026,NSE,ANANDRATHI,,ANANDRATHI INE463V01026 543415 ANANDRATHI Anand Rathi Wealth Ltd,true
ANANTRAJ,Anant Raj Limited,Realty,EQ,INE242C01024,NSE,ANANTRAJ,,ANANTRAJ INE242C01024 515055 ANANTRAJ Anant Raj Ltd,true
ANDHRAPAP,ANDHRA PAPER LIMITED,NSE Equity,EQ,INE435A01051,NSE,ANDHRAPAP,,ANDHRAPAP INE435A01051 502330 ANDHRAPAP Andhra Paper Ltd,true
ANDHRSUGAR,The Andhra Sugars Limited,NSE Equity,EQ,INE715B01021,NSE,ANDHRSUGAR,,ANDHRSUGAR INE715B01021 590062 ANDHRSUGAR Andhra Sugars Ltd,true
ANGELONE,Angel One Limited,Financial Services,EQ,INE732I01021,NSE,ANGELONE,,ANGELONE INE732I01021 543235 ANGELONE Angel One Ltd,true
ANIKINDS,Anik Industries Limited,NSE Equity,BE,INE087B01017,NSE,ANIKINDS,,ANIKINDS INE087B01017 519383 ANIKINDS Anik Industries Ltd,true
ANKITMETAL,Ankit Metal & Power Limited,NSE Equity,BZ,INE106I01010,NSE,ANKITMETAL,,ANKITMETAL INE106I01010 532870 ANKITMETAL Ankit Metal & Power Ltd,true
ANMOL,Anmol India Limited,NSE Equity,EQ,INE02AR01019,NSE,ANMOL,,ANMOL INE02AR01019 542437 ANMOL Anmol India Ltd,true
ANSALAPI,Ansal Properties & Infrastructure Limited,NSE Equity,BZ,INE436A01026,NSE,ANSALAPI,,ANSALAPI INE436A01026 500013 ANSALAPI Ansal Properties & Infrastructure Ltd,true
ANTELOPUS,Antelopus Selan Energy Limited,NSE Equity,EQ,INE818A01017,NSE,ANTELOPUS,,ANTELOPUS INE818A01017 530075 ANTELOPUS Antelopus Selan Energy Ltd,true
ANTGRAPHIC,Antarctica Limited,NSE Equity,EQ,INE414B01021,NSE,ANTGRAPHIC,,ANTGRAPHIC INE414B01021,true
ANTHEM,Anthem Biosciences Limited,Healthcare,EQ,INE0CZ201020,NSE,ANTHEM,,ANTHEM INE0CZ201020 544449 ANTHEM Anthem Biosciences Ltd,true
ANUHPHR,Anuh Pharma Limited,NSE Equity,EQ,INE489G01022,NSE,ANUHPHR,,ANUHPHR INE489G01022 506260 ANUHPHR Anuh Pharma Ltd,true
ANUP,The Anup Engineering Limited,NSE Equity,EQ,INE294Z01018,NSE,ANUP,,ANUP INE294Z01018 542460 ANUP The Anup Engineering Ltd,true
ANURAS,Anupam Rasayan India Limited,Chemicals,EQ,INE930P01018,NSE,ANURAS,,ANURAS INE930P01018 543275 ANURAS Anupam Rasayan India Ltd,true
APARINDS,Apar Industries Limited,Capital Goods,EQ,INE372A01015,NSE,APARINDS,,APARINDS INE372A01015 532259 APARINDS Apar Industries Ltd,true
APCL,Anjani Portland Cement Limited,NSE Equity,EQ,INE071F01012,NSE,APCL,,APCL INE071F01012 518091 APCL Anjani Portland Cement Ltd,true
APCOTEXIND,Apcotex Industries Limited,NSE Equity,EQ,INE116A01032,NSE,APCOTEXIND,,APCOTEXIND INE116A01032 523694 APCOTEXIND Apcotex Industries Ltd,true
APEX,Apex Frozen Foods Limited,NSE Equity,EQ,INE346W01013,NSE,APEX,,APEX INE346W01013 540692 APEX Apex Frozen Foods Ltd,true
APLAPOLLO,APL Apollo Tubes Limited,Capital Goods,EQ,INE702C01027,NSE,APLAPOLLO,,APLAPOLLO INE702C01027 533758 APLAPOLLO APL Apollo Tubes Ltd,true
APLLTD,Alembic Pharmaceuticals Limited,NSE Equity,EQ,INE901L01018,NSE,APLLTD,,APLLTD INE901L01018 533573 APLLTD Alembic Pharmaceuticals Ltd,true
APOLLO,Apollo Micro Systems Limited,NSE Equity,EQ,INE713T01028,NSE,APOLLO,,APOLLO INE713T01028 540879 APOLLO Apollo Micro Systems Ltd,true
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,EQ,INE437A01024,NSE,APOLLOHOSP,,APOLLOHOSP INE437A01024 508869 APOLLOHOSP Apollo Hospitals Enterprise Ltd,true
APOLLOPIPE,Apollo Pipes Limited,NSE Equity,EQ,INE126J01016,NSE,APOLLOPIPE,,APOLLOPIPE INE126J01016 531761 APOLLOPIPE Apollo Pipes Ltd,true
APOLLOTYRE,Apollo Tyres Limited,Automobile and Auto Components,EQ,INE438A01022,NSE,APOLLOTYRE,,APOLLOTYRE INE438A01022 500877 APOLLOTYRE Apollo Tyres Ltd,true
APOLSINHOT,Apollo Sindoori Hotels Limited,NSE Equity,EQ,INE451F01024,NSE,APOLSINHOT,,APOLSINHOT INE451F01024,true
